Community,average_occupied_rate,community_center_x,spatial_dispersion,average_edge_weight
33,0.5680763906981039,3391025.5375670735,3938.584904802687,0.3292327297154816
64,0.5879954372233517,3391750.133538158,3067.905293122293,0.352064915996642
10,0.5769957470469191,3380428.3193757143,3793.2715673402336,0.31831329946769993
73,0.6351838382227459,3402677.20711746,4025.026630463319,0.3992212023599466
54,0.5477118126694398,3381526.0066406783,4629.722581176906,0.2971387789730445
220,0.5801969061542143,3376237.087201754,6055.298593263497,0.29785870534760295
23,0.5725007850000615,3386891.349116,2493.117596377137,0.3402905561633709
231,0.5998356983025318,3410363.426219149,4884.220946552502,0.3336323146776869
170,0.6038355489050515,3409752.6160906977,3007.2895054231026,0.377280744560928
211,0.568851414108767,3397595.7898725,3831.3959219247286,0.33141063345583
58,0.6459220969089389,3394568.9044368416,2283.2911172885088,0.4256805024092971
200,0.6090353944161416,3399383.0491916668,2808.885022799319,0.4032998397353373
195,0.4858333406507849,3405906.404364706,10214.333356883473,0.24588010312738626
5,0.742183130489582,3387106.135000001,3484.472987948397,0.5545878175723359
